,NDBI,nighttime_lights,omega_500,cooling_capacity,canyon_effect,microclimate_mod,dtr_proxy
min,-0.6397492518087858,0.0,-0.3325205899709441,-26629.12442571341,0.5401979599904271,-56.09183737238746,0.06036376953125
max,0.1342122883895137,51.856449557426274,0.0541711337864398,-1.226293036815002,76162.56999393544,1.9586857298343272,1.265899658203125
mean,-0.17009376431986567,14.980862531215074,-0.08611345452419836,-7663.232040861493,5754.617921423459,-4.1207700608929185,0.3164922796560619
