barangay,NDBI,nighttime_lights,omega_500,cooling_capacity,canyon_effect,microclimate_mod,dtr_proxy
Barangay 28,-0.0908481206382221,35.553966887983464,-0.1675092428922653,-15155.37332363376,8982.870790926538,0.3194173197500099,0.119720458984375
Barangay 3,-0.0754134210696721,40.09000015258789,-0.1675092428922653,-16143.1866205375,8483.34511623883,-0.2704643513726507,0.119720458984375
Barangay 30,-0.1094396334227786,39.07182220652391,-0.1675092428922653,-20289.391467730173,8702.005848174744,0.407170380824442,0.119720458984375
Barangay 32,-0.0962847729669173,40.09000015258789,-0.1675092428922653,-12704.339932513189,12823.446119586288,0.3595516715659472,0.119720458984375
Barangay 33,-0.0474382006047173,39.44967852719752,-0.1675092428922653,-14199.491905925272,12890.868187112255,0.7404291747621553,0.119720458984375
Barangay 34,-0.0945109702998145,36.58000183105469,-0.1675092428922653,-16289.227084409991,11596.52826885992,0.7615185921681612,0.119720458984375
Barangay 38,-0.0953934138711718,39.85936371256929,-0.1675092428922653,-15143.766414716129,11925.241384430255,0.7185726160798418,0.119720458984375
Barangay 39,-0.0992364496629496,40.09000015258789,-0.1675092428922653,-7876.89916633734,20357.42278046578,0.1970889157988894,0.119720458984375
Barangay 4,-0.064761230220368,35.50870402188481,-0.1675092428922653,-14164.39437228684,8856.815006383182,-0.1774771764114923,0.119720458984375
Barangay 40,-0.1284505719767778,40.09000015258789,-0.1675092428922653,-12087.949435603336,8395.721273622408,1.1295255449851382,0.119720458984375
Barangay 6,-0.1933769929657216,33.400001525878906,-0.1675092428922653,-6461.602520734994,4120.047937840978,0.2256754521652895,0.119720458984375
Barangay 8,-0.0527691285151257,35.117220424713295,-0.1675092428922653,-13714.803598224393,11155.02466690311,0.7525830948340317,0.119720458984375
Barangay 9,-0.0879280505343883,40.09000015258789,-0.1675092428922653,-15933.167822256071,7812.707259235786,0.6754900177936715,0.119720458984375
Barangay 5,-0.0855657862361795,36.37224431751061,-0.1675092428922653,-16871.071693873306,9364.828446332223,0.4259797594959102,0.119720458984375
Bayabas,-0.1453953060453458,5.444067290689686,-0.1652338802814483,-3459.3530835795937,704.931473038297,0.9370327129670368,0.646514892578125
Bayanga,-0.3364900749115696,0.4132930412365762,-0.1675092428922653,-96.6375560848368,6.491189462676191,-12.644233709779623,0.119720458984375
Besigan,-0.3661664834490724,0.3540111331819691,-0.1675092428922653,-8.284254844624996,0.786037084766982,-55.93826611177076,0.119720458984375
Bonbon,-0.1484957715015339,6.543655009974042,-0.1652338802814483,-4949.916785845401,1443.4975657390924,0.7638694219037258,0.646514892578125
Bugo,-0.3157035456150097,3.484701240727224,-0.1662424710756367,-1349.5075796629233,1220.4335440400837,-4.8041429984409945,0.4130048517492497
Camaman-an,-0.1590176866219894,12.237136276774155,-0.1675092428922653,-4355.332033634757,1361.1785992381626,1.844562777047543,0.119720458984375
Canito-an,-0.2594411295547004,6.381156541669328,-0.1675092428922653,-1035.9037751352869,124.52211992206772,1.002856132605568,0.119720458984375
Carmen,-0.2049242798199236,10.985487116161572,-0.1675092428922653,-8655.953438385744,1297.35298869455,0.8592866334293754,0.119720458984375
Consolacion,-0.166043167381871,14.12516969152566,-0.1675092428922653,-9128.20479097603,2876.055344061817,1.0146691002574006,0.119720458984375
Cugman,-0.3005716162042393,2.6154375323888384,-0.1675092428922653,-1218.0066519695094,234.6431555804611,-10.526106836377688,0.119720458984375
Dansolihon,-0.3142014573820145,0.4589533282916697,-0.1675092428922653,-64.34603587367437,5.720196992899931,-40.52452065190789,0.119720458984375
F. S. Catanico,-0.3050608973310729,0.8177598729251107,-0.1675092428922653,-10.75775719004203,2.9126658032435966,-31.407902170762718,0.119720458984375
Gusa,-0.1710740816794116,10.537132482202168,-0.1675092428922653,-6223.75932206606,1822.0444674208145,1.0878138093301797,0.119720458984375
Indahag,-0.2638566311789507,3.27911016125856,-0.1675092428922653,-177.91999126660343,22.42196247354914,-6.211913718769789,0.119720458984375
Iponan,-0.2074183251537329,5.103621646235643,-0.1672351675127624,-1753.5712502634938,211.82106830540732,0.970506086863348,0.1831746898049004
Kauswagan,-0.1579513578608982,15.137752194019034,-0.1664869274468842,-8703.827392611644,2165.909997232545,0.7405383445297953,0.3564080460280401
Lapasan,-0.1197890450720129,27.19655434013611,-0.1675092428922653,-11049.79486416791,5085.466335846848,1.3491774220434962,0.119720458984375
Lumbia,-0.3062801322075617,1.8792592956557204,-0.1675092428922653,-245.61432041254812,24.145694249057534,-4.100592366492582,0.119720458984375
Macabalan,-0.0809546234599217,15.78460559206581,-0.1653408464078079,-13653.127348654038,9006.82233443688,0.7425114446205588,0.6217499783260259
